Symbol,Name,Price,P/E,P/B,P/S,Volume,EV/EBITDA,EV/Gross_Profit,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/Gross_Profit Percentile,RV Score
JWN,"Nordstrom, Inc.",19.8,12.79369912,4.18772626,0.20176388,10223663,5.4138046875,1.2574251497005982,44.23963133640553,88.0184331797235,3.225806451612903,24.88479262672811,6.912442396313364,33.45622119815668
GES,"Guess?, Inc.",21.94,11.99273168,2.19308403,0.55398157,522881,6.667351469361723,1.864796047446423,42.3963133640553,61.75115207373272,21.19815668202765,32.71889400921659,11.981566820276498,34.00921658986175
CTRA,Coterra Energy Inc.,26.34,5.08220931,1.56634798,2.16756254,9134931,2.9914520237758273,3.482880210907892,14.746543778801843,46.54377880184332,66.82027649769586,9.216589861751151,33.64055299539171,34.193548387096776
CLF,Cleveland-Cliffs Inc.,22.79,8.83604406,1.46405263,0.50647179,9751776,4.805863073561544,5.834173297966402,32.25806451612903,43.31797235023041,18.89400921658986,20.737327188940093,56.22119815668203,34.285714285714285
ALTO,"Alto Ingredients, Inc.",3.12,8.29337094,0.61981772,0.17578049999999998,702701,13.571368831892947,6.326935990468956,29.493087557603687,5.0691244239631335,2.7649769585253456,74.65437788018433,60.36866359447004,34.47004608294931
TGNA,TEGNA Inc,17.04,6.05693519,1.23664154,1.16376239,1667204,6.537326961762624,5.051117890271798,21.658986175115206,31.797235023041473,41.935483870967744,31.797235023041473,49.30875576036866,35.29953917050691
LXU,"LSB Industries, Inc.",14.51,5.26217088,2.07510305,1.33848955,1069234,3.813857866100422,4.052421727660771,16.589861751152075,60.8294930875576,47.465437788018434,14.285714285714286,39.63133640552996,35.76036866359447
SLM,SLM Corporation,14.25,8.24069172,2.28461659,1.54608626,1792833,3.246997611178376,2.410800922652205,28.571428571428573,65.43778801843318,52.07373271889401,11.52073732718894,21.19815668202765,35.76036866359447
DNOW,NOW Inc.,13.48,11.53105862,1.72763189,0.6863003,588939,7.6140243902439035,2.467786561264822,40.55299539170507,48.8479262672811,28.110599078341014,38.70967741935484,22.580645161290324,35.76036866359447
ASC,Ardmore Shipping Corporation,18.18,5.49642245,1.60896798,1.59983515,1082905,3.9868111358805542,4.189430216616205,18.89400921658986,47.004608294930875,54.83870967741935,16.129032258064516,42.857142857142854,35.944700460829495
