Symbol,Name,Price,Volume,P/E,PE Percentile,P/B,PB Percentile,P/S,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/Revenue,EV/Revenue Percentile,RV Score
ALGT,Allegiant Travel Company Common Stock,101.77,25861,732.5,,1.52,,0.8,,10.2,,1.35,,
ALHC,Alignment Healthcare Inc. Common Stock,7.43,655297,,,6.84,,1.31,,-12.85,,1.02,,
ALK,Alaska Air Group Inc. Common Stock,47.58,248040,106.29,,1.6,,0.63,,12.69,,0.77,,
ALKT,Alkami Technology Inc. Common Stock,15.08,33944,,,4.21,,6.78,,-27.88,,6.43,,
ALL,Allstate Corporation (The) Common Stock,125.82,444746,,,2.19,,0.68,,,,0.84,,
ALLE,Allegion plc Ordinary Shares,111.89,156540,21.66,,10.49,,3.03,,16.97,,3.57,,
ALLY,Ally Financial Inc. Common Stock,29.725,1331367,5.96,,0.86,,1.04,,,,,,
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,195.16,161241,,,,,23.02,,-26.28,,22.43,,
ALOT,AstroNova Inc. Common Stock,12.92,434,181.71,,1.15,,0.71,,20.62,,0.94,,
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,10.08,260,,,1.3,,,,-415.09,,,,
ALR,AlerisLife Inc. Common Stock,1.315,36868,2.31,,0.28,,0.06,,-1.82,,0.05,,
ALRS,Alerus Financial Corporation Common Stock,19.795,2803,9.52,,1.12,,1.81,,,,,,
ALSN,Allison Transmission Holdings Inc. Common Stock,48.31,125106,8.68,,5.05,,1.66,,7.29,,2.42,,
ALT,Altimmune Inc. Common Stock,11.86,211394,1.82,,2.84,,160.87,,-4.4,,115.06,,
ALTO,Alto Ingredients Inc. Common Stock,2.92,282910,8.39,,0.68,,0.16,,4.67,,0.18,,
ALV,Autoliv Inc. Common Stock,92.095,309819,19.09,,3.05,,0.91,,9.07,,1.05,,
ALVR,AlloVir Inc. Common Stock,6.03,73838,,,2.61,,,,-2.27,,,,
ALX,Alexander's Inc. Common Stock,209.99,4481,19.65,,4.77,,5.5,,14.93,,8.54,,
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,1.7968,3221,,,1.11,,0.44,,19.69,,0.51,,
AM,Antero Midstream Corporation Common Stock,10.59,365017,15.6,,2.32,,5.14,,9.81,,8.28,,
AMAT,Applied Materials Inc. Common Stock,115.97,2231074,15.72,,7.38,,3.86,,12.15,,3.85,,
AMBA,Ambarella Inc. Ordinary Shares,82.54,303301,,,5.34,,9.49,,-69.24,,8.81,,
AMBC,Ambac Financial Group Inc. Common Stock,16.99,191866,2.33,,0.73,,2.7,,,,20.01,,
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,0.3,50368,,,1.05,,0.15,,-0.23,,0.07,,
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,6.0,16564035,,,0.18,,1.76,,-65.43,,3.29,,
AMCR,Amcor plc Ordinary Shares,11.165,1751956,15.67,,3.8,,1.11,,10.79,,1.54,,
AMCX,AMC Networks Inc. Class A Common Stock,22.35,72835,134.65,,1.22,,0.32,,2.48,,0.98,,
AMD,Advanced Micro Devices Inc. Common Stock,77.1099,18996377,93.55,,2.31,,5.23,,22.34,,5.24,,
AME,AMETEK Inc.,141.42,145940,28.26,,4.36,,5.33,,19.0,,5.66,,
AMED,Amedisys Inc Common Stock,87.685,197248,24.67,,2.77,,1.32,,13.47,,1.54,,
AMG,Affiliated Managers Group Inc. Common Stock,159.49,103524,6.29,,1.77,,3.35,,3.69,,3.05,,
AMGN,Amgen Inc. Common Stock,234.06,537218,19.13,,33.79,,4.76,,12.6,,5.83,,
AMK,AssetMark Financial Holdings Inc. Common Stock,31.38,59260,22.46,,2.06,,3.76,,13.33,,3.76,,
AMKR,Amkor Technology Inc. Common Stock,25.66,437114,8.13,,1.69,,0.88,,4.18,,0.9,,
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,33.92,165754,,,15.74,,,,-11.11,,,,
