Symbol,Name,Price,Volume,P/E,PE Percentile,P/B,PB Percentile,P/S,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/Revenue,EV/Revenue Percentile,RV Score
KOPN,Kopin Corporation Common Stock,1.115,127258,,,4.02,,2.1,,-6.01,,2.29,,
KORE,KORE Group Holdings Inc. Common Stock,1.66,15176,,,0.52,,0.49,,20.45,,1.92,,
KOS,Kosmos Energy Ltd. Common Shares (DE),7.665,1232007,16.08,,4.5,,1.63,,5.8,,2.49,,
KOSS,Koss Corporation Common Stock,5.05,1886,5.07,,1.44,,3.17,,-1.71,,2.52,,
KPLT,Katapult Holdings Inc. Common Stock,0.9726,81594,,,4.87,,0.42,,0.92,,0.48,,
KPRX,Kiora Pharmaceuticals Inc.  Common Stock,4.15,104672,,,0.72,,,,-0.17,,,,
KPTI,Karyopharm Therapeutics Inc. Common Stock,3.05,278391,,,,,1.61,,-1.8,,1.6,,
KR,Kroger Company (The) Common Stock,44.84,5804738,13.64,,3.12,,0.22,,6.95,,0.34,,
KRC,Kilroy Realty Corporation Common Stock,35.651,207651,18.28,,0.78,,3.85,,11.73,,7.51,,
KRG,Kite Realty Group Trust Common Stock,21.48,387961,218.14,,1.27,,5.94,,13.67,,9.63,,
KRNY,Kearny Financial Corp Common Stock,9.83,36287,14.07,,0.76,,3.38,,,,,,
KRO,Kronos Worldwide Inc Common Stock,11.39,35977,8.71,,1.56,,0.66,,5.18,,0.69,,
KSPN,Kaspien Holdings Inc. Common Stock,0.6271,11994,,,0.83,,0.01,,-1.71,,0.17,,
KSS,Kohl's Corporation Common Stock,27.765,3091475,43.36,,0.81,,0.18,,5.77,,0.56,,
KT,KT Corporation Common Stock,11.565,277645,5.12,,0.49,,0.28,,0.0,,0.0,,
KTB,Kontoor Brands Inc. Common Stock ,52.37,225199,11.96,,11.4,,1.12,,9.33,,1.39,,
KTCC,Key Tronic Corporation Common Stock,7.115,19429,18.0,,0.58,,0.14,,9.45,,0.39,,
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,12.8591,218462,,,1.54,,1.69,,62.57,,1.85,,
KTRA,Kintara Therapeutics Inc. Common Stock,4.7601,878,,,7.81,,,,-0.67,,,,
KULR,KULR Technology Group Inc. Common Stock,1.27,379446,,,17.34,,43.68,,-6.79,,41.32,,
KVHI,KVH Industries Inc. Common Stock,9.845,3664,,,1.26,,1.07,,12.86,,0.71,,
KW,Kennedy-Wilson Holdings Inc. Common Stock,16.605,84335,35.98,,1.7,,4.34,,15.18,,14.95,,
KWE,KWESST Micro Systems Inc. Common Stock,2.5999,948,,,1.83,,3.35,,-0.65,,5.23,,
KWR,Quaker Houghton Common Stock,198.605,10069,44.5,,2.72,,1.82,,35.93,,2.22,,
KZIA,Kazia Therapeutics Limited American Depositary Shares,1.13,81592,,,1.28,,,,-0.45,,,,
L,Loews Corporation Common Stock,61.09,106724,14.69,,0.98,,1.06,,,,1.63,,
LAB,Standard BioTools Inc. Common Stock,1.84,49670,,,,,1.45,,-0.46,,0.82,,
LABP,Landos Biopharma Inc. Common Stock,0.3546,127042,,,0.33,,,,1.1,,,,
LAC,Lithium Americas Corp. Common Shares,22.8475,2300428,22.45,,4.67,,89.06,,-47.61,,88.41,,
LAD,Lithia Motors Inc. Common Stock,254.64,56313,5.82,,1.35,,0.26,,6.95,,0.52,,
LAKE,Lakeland Industries Inc. Common Stock,15.03,1455,51.24,,0.92,,1.05,,9.33,,0.7,,
LAMR,Lamar Advertising Company Class A Common Stock,104.085,78178,24.23,,8.06,,5.22,,12.46,,5.72,,
LANC,Lancaster Colony Corporation Common Stock,189.87,18151,51.89,,6.02,,3.0,,25.48,,2.97,,
LAND,Gladstone Land Corporation Common Stock,17.4241,60568,,,0.86,,6.81,,18.1,,13.37,,
LARK,Landmark Bancorp Inc. Common Stock,23.3175,339,12.14,,1.07,,2.28,,,,,,
LAUR,Laureate Education Inc. Common Stock,11.7,219312,32.08,,2.34,,1.56,,6.77,,1.91,,
LAW,CS Disco Inc. Common Stock,6.315,265694,,,1.73,,2.83,,-2.91,,1.44,,
LAZ,Lazard LTD. Lazard LTD. Class A Common Stock,37.66,382633,10.64,,5.71,,1.32,,6.02,,1.18,,
LAZR,Luminar Technologies Inc.  Class A Common Stock,8.75,6133877,,,,,79.31,,-9.78,,83.32,,
LBAI,Lakeland Bancorp Inc. Common Stock,18.89,44857,11.81,,1.13,,3.67,,,,,,
LBRDA,Liberty Broadband Corporation Class A Common Stock,85.15,34225,10.71,,1.47,,13.81,,8.3,,16.42,,
LBRDK,Liberty Broadband Corporation Class C Common Stock,84.99,135958,10.72,,1.47,,13.83,,8.3,,16.42,,
LBTYA,Liberty Global plc Class A Ordinary Shares,20.165,290405,17.08,,0.41,,1.4,,4.91,,2.86,,
LBTYK,Liberty Global plc Class C Ordinary Shares,21.025,428449,17.75,,0.43,,1.46,,4.91,,2.86,,
LC,LendingClub Corporation Common Stock,9.18,462015,3.37,,0.86,,0.84,,,,,,
LCI,Lannett Co Inc Common Stock,2.14,12843,,,1.84,,0.07,,-5.69,,1.95,,
LCID,Lucid Group Inc. Common Stock,8.395,8567280,,,3.63,,24.0,,-13.08,,23.37,,
LCII,LCI Industries,114.325,83139,7.38,,2.08,,0.56,,6.17,,0.81,,
LCNB,LCNB Corporation Common Stock,17.82,3365,9.32,,1.01,,2.87,,,,,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,1.355,77987,,,2.73,,15.65,,-3.51,,11.08,,
LCUT,Lifetime Brands Inc. Common Stock,7.3,853,,,0.69,,0.21,,12.41,,0.68,,
LDOS,Leidos Holdings Inc. Common Stock,97.21,90264,19.49,,3.08,,0.93,,12.84,,1.26,,
LE,Lands' End Inc. Common Stock,7.98,32533,74.61,,0.67,,0.16,,9.74,,0.42,,
LEA,Lear Corporation Common Stock,139.4225,128922,25.53,,1.76,,0.4,,8.35,,0.47,,
LECO,Lincoln Electric Holdings Inc. Common Shares,170.28,128090,21.04,,9.42,,2.64,,15.35,,2.86,,
LEDS,SemiLEDS Corporation Common Stock,2.25,3192,,,3.72,,1.46,,-11.28,,2.06,,
LEE,Lee Enterprises Incorporated Common Stock,18.0,12521,,,2.17,,0.14,,7.81,,0.79,,
LEG,Leggett & Platt Incorporated Common Stock,34.11,192151,15.19,,2.8,,0.91,,9.8,,1.27,,
LEGH,Legacy Housing Corporation Common Stock (TX),20.05,589,8.12,,1.35,,2.13,,5.99,,2.06,,
LEN,Lennar Corporation Class A Common Stock,94.86,585761,6.08,,1.15,,0.82,,4.15,,0.85,,
LEU,Centrus Energy Corp. Class A Common Stock,42.9,67071,13.02,,,,2.24,,7.93,,2.1,,
LEV,The Lion Electric Company Common Shares,2.155,261157,7.13,,1.23,,3.73,,8.29,,4.68,,
LEVI,Levi Strauss & Co Class A Common Stock,17.63,748833,12.55,,3.67,,1.16,,10.28,,1.39,,
LFCR,Lifecore Biomedical Inc. Common Stock,5.645,28193,,,1.79,,0.92,,-14.42,,1.74,,
LFLY,Leafly Holdings Inc. Common Stock,0.53,40350,1.77,,,,4.96,,1.35,,5.18,,
LFMD,LifeMD Inc. Common Stock,1.78,10850,,,,,0.46,,-1.27,,0.47,,
LFST,LifeStance Health Group Inc. Common Stock,4.72,105865,,,1.18,,2.06,,-9.0,,2.34,,
LFT,Lument Finance Trust Inc. Common Stock,2.1099,3309,11.72,,0.58,,3.79,,,,,,
LFUS,Littelfuse Inc. Common Stock,261.75,16523,17.32,,2.9,,2.57,,11.71,,2.75,,
LFVN,Lifevantage Corporation Common Stock (Delaware),3.8001,1270,,,1.55,,0.24,,8.51,,0.22,,
LGI,Lazard Global Total Return and Income Fund Common Stock,15.3,5193,,,0.95,,,,,,,,
LGIH,LGI Homes Inc. Common Stock,101.87,25623,7.53,,1.47,,1.07,,8.69,,1.58,,
LGL,LGL Group Inc. (The) Common Stock,4.66,4088,,,0.47,,0.78,,-0.95,,-0.61,,
LGMK,LogicMark Inc. Common Stock,0.196,321989,,,0.21,,0.15,,0.18,,-0.19,,
LGND,Ligand Pharmaceuticals Incorporated Common Stock,74.275,37852,,,2.11,,6.35,,30.54,,5.8,,
LGO,Largo Inc. Common Shares,6.495,46229,31.0,,1.59,,1.91,,8.69,,1.67,,
LGVN,Longeveron Inc. Class A Common Stock,3.59,31336,,,3.09,,57.26,,-3.22,,43.14,,
LH,Laboratory Corporation of America Holdings Common Stock,238.13,358122,17.03,,2.09,,1.46,,11.23,,1.81,,
LHDX,Lucira Health Inc. Common Stock,0.578,26338563,,,0.53,,0.15,,-0.3,,0.19,,
LHX,L3Harris Technologies Inc. Common Stock,211.365,240492,38.28,,2.16,,2.38,,18.81,,2.75,,
LI,Li Auto Inc. American Depositary Shares,24.815,5445372,,,3.7,,3.65,,-9.03,,0.41,,
LIFE,aTyr Pharma Inc. Common Stock,2.0886,81374,,,1.37,,,,-0.8,,,,
LII,Lennox International Inc. Common Stock,251.63,36126,18.36,,,,1.93,,14.63,,2.27,,
LILA,Liberty Latin America Ltd. Class A Common Stock,8.8,79456,,,0.98,,0.4,,6.71,,1.88,,
LILAK,Liberty Latin America Ltd. Class C Common Stock,8.765,258299,,,0.98,,0.4,,6.71,,1.88,,
LIN,Linde plc Ordinary Shares,351.32,628021,42.33,,4.29,,5.26,,18.48,,5.52,,
LINC,Lincoln Educational Services Corporation Common Stock,5.918,2915,17.17,,1.12,,0.46,,12.47,,0.59,,
LIQT,LiqTech International Inc. Common Stock,0.4865,3394,677.45,,0.88,,0.79,,-1.83,,0.86,,
LITB,LightInTheBox Holding Co. Ltd. American Depositary Shares each representing 2 ordinary shares,1.2,9561,,,2.55,,0.29,,15.79,,0.21,,
LITE,Lumentum Holdings Inc. Common Stock,52.34,444346,141.61,,2.39,,2.08,,13.57,,2.4,,
LIVE,Live Ventures Incorporated Common Stock,29.71,4329,6.75,,0.95,,0.37,,4.79,,0.82,,
LIVN,LivaNova PLC Ordinary Shares,45.99,149626,,,2.06,,2.43,,93.87,,2.84,,
LIXT,Lixte Biotechnology Holdings Inc. Common Stock,0.8204,20602,,,4.67,,,,-1.57,,,,
LKCO,Luokung Technology Corp Ordinary Shares,0.1376,661732,,,0.54,,0.31,,-1.05,,0.42,,
LKFN,Lakeland Financial Corporation Common Stock,70.72,18809,17.56,,3.17,,7.45,,,,,,
LKQ,LKQ Corporation Common Stock,57.77,778037,13.94,,2.81,,1.25,,10.21,,1.48,,
LL,LL Flooring Holdings Inc. Common Stock,4.52,199092,,,0.51,,0.12,,9.25,,0.29,,
LLY,Eli Lilly and Company Common Stock,313.24,1083441,45.1,,27.83,,9.86,,35.84,,10.88,,
LMND,Lemonade Inc. Common Stock,14.59,575107,,,1.16,,4.58,,,,4.15,,
LMNL,Liminal BioSciences Inc. Common Shares,5.6987,995,2.37,,0.59,,59.61,,0.43,,-28.4,,
LMNR,Limoneira Co Common Stock,15.68,12783,,,1.65,,1.49,,32.34,,2.18,,
LMST,Limestone Bancorp Inc. Common Stock,27.4589,3748,11.55,,1.58,,3.81,,,,,,
LMT,Lockheed Martin Corporation Common Stock,476.02,264860,21.9,,13.07,,1.9,,15.39,,2.03,,
LNC,Lincoln National Corporation Common Stock,30.355,801076,,,1.72,,0.29,,,,0.5,,
LNG,Cheniere Energy Inc. Common Stock,162.645,655510,28.51,,29.88,,1.22,,11.71,,1.97,,
LNN,Lindsay Corporation Common Stock,152.99,16643,22.13,,4.13,,2.15,,13.44,,2.18,,
LNSR,LENSAR Inc. Common Stock,3.2,2495,,,0.8,,0.85,,-0.98,,0.49,,
LNT,Alliant Energy Corporation Common Stock,51.06,466910,18.41,,2.01,,3.0,,12.51,,5.07,,
LNTH,Lantheus Holdings Inc. Common Stock,72.94,171399,182.7,,11.04,,5.52,,62.37,,5.46,,
LOAN,Manhattan Bridge Capital Inc,5.6,4417,12.4,,1.49,,9.64,,19.84,,12.53,,
LODE,Comstock Inc. Common Stock,0.2897,321275,,,0.4,,37.95,,-1.03,,84.66,,
LOGI,Logitech International S.A. Ordinary Shares,53.16,164864,20.38,,3.76,,1.82,,11.26,,1.57,,
LOOP,Loop Industries Inc. Common Stock,2.65,37811,,,4.63,,818.67,,-2.81,,706.28,,
LOV,Spark Networks SE American Depositary Shares ,0.925,9941,,,1.63,,0.13,,-4.81,,0.56,,
LOW,Lowe's Companies Inc. Common Stock,194.1818,1403427,19.11,,,,1.26,,12.47,,1.6,,
LPCN,Lipocine Inc. Common Stock,0.448,14598,11.0,,1.03,,2.35,,-0.38,,-0.09,,
LPL,LG Display Co Ltd AMERICAN DEPOSITORY SHARES,5.805,99825,,,0.56,,0.21,,0.01,,0.0,,
LPSN,LivePerson Inc. Common Stock,9.39,634836,,,7.99,,1.39,,-6.47,,2.06,,
LPTH,LightPath Technologies Inc. Class A Common Stock,1.8244,4597,,,2.34,,1.47,,130.23,,2.24,,
LPTX,Leap Therapeutics Inc. Common Stock,0.55,72108,,,0.82,,174.72,,0.38,,-54.03,,
LPX,Louisiana-Pacific Corporation Common Stock,59.68,181725,5.22,,2.96,,1.2,,3.3,,1.11,,
LQDT,Liquidity Services Inc. Common Stock,12.8855,65440,10.38,,2.58,,1.47,,9.81,,1.17,,
LRCX,Lam Research Corporation Common Stock,480.78,336601,13.06,,7.9,,3.52,,10.44,,3.46,,
LRN,Stride Inc. Common Stock,42.77,204120,18.23,,2.17,,1.03,,8.32,,1.18,,
LSAK,Lesaka Technologies Inc. Common Stock,4.71,10130,,,0.97,,0.66,,,,1.09,,
LSCC,Lattice Semiconductor Corporation Common Stock,84.56,390794,67.38,,24.13,,18.23,,52.95,,17.81,,
LSI,Life Storage Inc. Common Stock,122.785,335233,28.91,,2.86,,10.45,,20.54,,13.86,,
LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares,14.98,277735,,,0.91,,3.3,,-6.0,,2.17,,
LSTA,Lisata Therapeutics Inc. Common Stock,3.0599,5033,,,0.33,,,,0.88,,,,
LSTR,Landstar System Inc. Common Stock,181.415,60452,15.37,,7.32,,0.89,,10.02,,0.85,,
LTBR,Lightbridge Corporation Common Stock,4.43,15577,,,1.67,,,,-2.45,,,,
LTC,LTC Properties Inc. Common Stock,35.015,83428,14.13,,1.75,,8.02,,13.02,,12.6,,
LTCH,Latch Inc. Common Stock,0.75,73882,,,0.3,,2.1,,-0.65,,2.06,,
LTH,Life Time Group Holdings Inc. Common Stock,17.94,125796,,,1.64,,2.01,,-174.54,,4.32,,
LTHM,Livent Corporation Common Stock,23.06,1485959,17.39,,2.94,,5.86,,11.85,,5.29,,
LTRPA,Liberty TripAdvisor Holdings Inc. Series A Common Stock,1.05,260223,2.74,,4.55,,0.06,,0.74,,0.13,,
LTRPB,Liberty TripAdvisor Holdings Inc. Series B Common Stock,26.5,10,67.95,,28.57,,1.37,,0.74,,0.13,,
LTRX,Lantronix Inc. Common Stock,5.05,19927,,,2.34,,1.37,,133.74,,1.62,,
LUCD,Lucid Diagnostics Inc. Common Stock,1.36,29636,,,1.93,,89.1,,-0.55,,50.01,,
LULU,lululemon athletica inc. Common Stock,308.25,401838,34.05,,12.99,,5.32,,21.48,,5.38,,
LUMN,Lumen Technologies Inc. Common Stock,3.16,14851045,10.49,,0.33,,0.2,,6.44,,1.32,,
LUMO,Lumos Pharma Inc. Common Stock,3.45,5990,,,0.43,,23.51,,1.51,,-36.04,,
LUNA,Luna Innovations Incorporated Common Stock,9.81,47045,,,3.48,,2.94,,112.2,,3.18,,
LUV,Southwest Airlines Company Common Stock,33.445,1645970,38.6,,1.87,,0.91,,7.18,,0.72,,
LVS,Las Vegas Sands Corp. Common Stock,58.805,2180227,104.34,,11.32,,10.68,,131.99,,13.04,,
LW,Lamb Weston Holdings Inc. Common Stock ,102.09,237461,30.76,,25.33,,3.24,,18.78,,3.74,,
LWAY,Lifeway Foods Inc. Common Stock,6.13,2460,,,1.66,,0.66,,21.84,,0.6,,
LWLG,Lightwave Logic Inc. Common Stock,5.575,195552,,,21.0,,,,-31.51,,,,
LXP,LXP Industrial Trust Common Stock (Maryland REIT),10.325,296395,27.47,,1.35,,9.18,,13.41,,13.94,,
LXRX,Lexicon Pharmaceuticals Inc. Common Stock,2.15,62916,3.74,,3.21,,,,-3.77,,,,
LXU,LSB Industries Inc. Common Stock,13.74,113267,5.15,,2.04,,1.32,,3.64,,1.55,,
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),97.14,282187,8.24,,2.52,,0.63,,6.76,,0.85,,
LYEL,Lyell Immunopharma Inc. Common Stock,2.35,219687,,,0.72,,7.0,,-0.13,,0.66,,
LYFT,Lyft Inc. Class A Common Stock,9.685,7249306,0.9,,9.73,,0.87,,-2.17,,0.74,,
LYG,Lloyds Banking Group Plc American Depositary Shares,2.43,4481966,7.22,,0.74,,1.99,,,,,,
LYLT,Loyalty Ventures Inc. Common Stock,1.86,963595,,,3.11,,0.06,,7.19,,0.94,,
LYTS,LSI Industries Inc. Common Stock,15.1199,41552,19.71,,2.62,,0.86,,11.98,,1.0,,
LYV,Live Nation Entertainment Inc. Common Stock,71.22,468713,112.52,,31.01,,1.0,,15.21,,1.13,,
LZ,LegalZoom.com Inc. Common Stock,8.2,378218,,,10.94,,2.58,,-77.94,,2.22,,
LZB,La-Z-Boy Incorporated Common Stock,31.82,68707,8.0,,1.53,,0.56,,4.3,,0.62,,
M,Macy's Inc Common Stock,22.43,18268331,4.3,,1.59,,0.23,,3.94,,0.44,,
MA,Mastercard Incorporated Common Stock,353.35,653133,34.76,,53.78,,15.51,,26.66,,15.53,,
MAA,Mid-America Apartment Communities Inc. Common Stock,154.965,165150,29.22,,3.1,,9.16,,17.12,,11.41,,
MAC,Macerich Company (The) Common Stock,11.975,262292,16.74,,0.9,,2.99,,15.32,,8.11,,
MAG,MAG Silver Corporation Ordinary Shares,12.115,108725,43.5,,3.13,,,,-101.52,,,,
MAIN,Main Street Capital Corporation Common Stock,41.9363,87664,12.94,,1.58,,9.43,,,,10.26,,
MAN,ManpowerGroup Common Stock,84.39,24876,11.99,,1.76,,0.23,,7.13,,0.25,,
MANH,Manhattan Associates Inc. Common Stock,145.21,56997,70.81,,39.61,,11.88,,55.05,,11.44,,
MANU,Manchester United Ltd. Class A Ordinary Shares,20.71,534064,97.2,,27.38,,4.62,,119.78,,6.88,,
MAR,Marriott International Class A Common Stock,169.39,456931,23.4,,91.92,,2.66,,16.53,,3.02,,
MARA,Marathon Digital Holdings Inc. Common Stock,6.32,10592425,,,1.22,,4.69,,-9.19,,9.95,,
MARK,Remark Holdings Inc. Common Stock,1.29,184485,,,,,0.84,,-0.37,,1.76,,
MARPS,Marine Petroleum Trust Units of Beneficial Interest,7.62,2565,9.1,,15.0,,7.95,,8.56,,7.42,,
MAS,Masco Corporation Common Stock,51.44,481914,14.44,,,,1.4,,10.24,,1.71,,
MASI,Masimo Corporation Common Stock,178.56,237349,67.67,,6.91,,4.77,,34.2,,5.77,,
MAT,Mattel Inc. Common Stock,17.59,581262,16.35,,3.11,,1.19,,10.14,,1.53,,
MATH,Metalpha Technology Holding Limited Ordinary Shares,0.98,12174,,,2.18,,7.64,,-1.87,,10.68,,
MATV,Mativ Holdings Inc. Common Stock,25.69,54760,,,1.21,,0.51,,16.08,,1.42,,
MATW,Matthews International Corporation Class A Common Stock,39.235,31883,,,2.3,,0.67,,38.42,,1.15,,
MAX,MediaAlpha Inc. Class A Common Stock,14.79,58408,,,,,1.36,,17.94,,1.79,,
MAXR,Maxar Technologies Inc.,51.405,541181,42.72,,2.77,,2.37,,31.4,,3.83,,
MAYS,J. W. Mays Inc. Common Stock,45.3,2,285.71,,1.71,,4.13,,76.48,,5.36,,
MBC,MasterBrand Inc. Common Stock,9.9,274155,7.07,,0.46,,0.38,,3.46,,0.36,,
MBCN,Middlefield Banc Corp. Common Stock,27.96,2031,10.93,,1.16,,3.11,,,,,,
MBI,MBIA Inc. Common Stock,12.95,174033,,,,,4.07,,,,20.72,,
MBLY,Mobileye Global Inc. Class A Common Stock,38.7599,805615,,,2.14,,16.04,,61.42,,18.37,,
MBOT,Microbot Medical Inc. Common Stock,2.7301,23412,,,3.92,,,,-1.13,,,,
MBRX,Moleculin Biotech Inc. Common Stock,1.2001,4918,,,0.61,,,,0.5,,,,
MBWM,Mercantile Bank Corporation Common Stock,34.15,5841,8.98,,1.25,,2.88,,,,,,
MC,Moelis & Company Class A Common Stock,42.385,110705,20.01,,6.17,,3.06,,12.17,,2.77,,
MCBC,Macatawa Bank Corporation Common Stock,10.81,9619,10.84,,1.52,,4.24,,,,,,
MCD,McDonald's Corporation Common Stock,266.48,729052,31.68,,,,8.44,,21.94,,10.32,,
MCHP,Microchip Technology Incorporated Common Stock,79.44,976843,21.9,,7.03,,5.64,,13.21,,6.3,,
MCHX,Marchex Inc. Class B Common Stock,1.9857,736,,,1.79,,1.89,,-28.22,,1.25,,
MCI,Barings Corporate Investors Common Stock,13.85,4245,10.43,,0.85,,9.8,,,,,,
MCK,McKesson Corporation Common Stock,349.28,231142,16.07,,5.04,,0.19,,10.32,,0.19,,
MCLD,mCloud Technologies Corp. Common Shares,0.9,63116,,,,,1.34,,-2.21,,4.74,,
MCO,Moody's Corporation Common Stock,286.36,267657,39.0,,21.1,,9.8,,25.31,,10.82,,
MCR,MFS Charter Income Trust Common Stock,6.51,11568,,,0.95,,,,,,,,
MCRB,Seres Therapeutics Inc. Common Stock,5.13,147015,,,9.55,,35.77,,-2.22,,33.81,,
MCRI,Monarch Casino & Resort Inc. Common Stock,73.4674,32087,16.66,,2.64,,3.05,,9.07,,2.94,,
MCS,Marcus Corporation (The) Common Stock,15.42,142547,107.2,,1.11,,0.74,,10.49,,1.4,,
MCW,Mister Car Wash Inc. Common Stock,9.04,452711,27.21,,3.55,,3.46,,18.01,,5.12,,
MCY,Mercury General Corporation Common Stock,33.02,30941,,,1.23,,0.52,,,,0.55,,
MD,Pediatrix Medical Group Inc. Common Stock,15.51,80137,20.88,,1.44,,0.66,,12.11,,0.96,,
MDB,MongoDB Inc. Class A Common Stock,199.66,814412,,,21.26,,12.01,,-44.05,,11.73,,
MDC,M.D.C. Holdings Inc. Common Stock,36.12,143074,4.82,,0.87,,0.47,,3.87,,0.54,,
MDGL,Madrigal Pharmaceuticals Inc. Common Stock,270.755,164730,,,25.65,,,,-16.34,,,,
MDLZ,Mondelez International Inc. Class A Common Stock,64.955,1671911,33.26,,3.31,,2.87,,23.18,,3.5,,
MDNA,Medicenna Therapeutics Corp. Common Shares,0.5969,8232,,,1.76,,,,-1.51,,,,
MDT,Medtronic plc. Ordinary Shares,81.75,1602957,27.0,,2.12,,3.56,,14.48,,4.1,,
MDVL,MedAvail Holdings Inc. Common Stock,0.37,25569,,,0.93,,0.5,,-0.32,,0.36,,
MDXG,MiMedx Group Inc Common Stock,4.08,238551,,,82.49,,2.07,,-29.36,,2.29,,
MED,MEDIFAST INC Common Stock,109.46,45734,8.67,,7.72,,0.78,,5.8,,0.71,,
MEDP,Medpace Holdings Inc. Common Stock,196.89,68393,26.96,,15.77,,4.53,,20.78,,4.28,,
MEDS,TRxADE HEALTH Inc. Common Stock,0.4301,116354,,,3.0,,0.33,,-1.81,,0.49,,
MEI,Methode Electronics Inc. Common Stock,49.8,25897,19.38,,1.98,,1.56,,11.55,,1.6,,
MEIP,MEI Pharma Inc. Common Stock,0.2314,493420,,,0.61,,0.47,,1.74,,-1.3,,
MELI,MercadoLibre Inc. Common Stock,1209.63,161981,126.83,,33.25,,5.89,,41.98,,5.99,,
MERC,Mercer International Inc. Common Stock,10.82,66272,2.91,,0.85,,0.32,,3.08,,0.76,,
MESO,Mesoblast Limited American Depositary Shares,3.1941,5831,,,0.95,,56.05,,-7.79,,65.14,,
MET,MetLife Inc. Common Stock,69.14,1892678,24.65,,2.05,,0.84,,,,1.08,,
META,Meta Platforms Inc. Class A Common Stock,172.4813,8485960,20.37,,3.61,,4.05,,11.68,,3.77,,
MFA,MFA Financial Inc.,10.33,222999,2.94,,0.54,,2.52,,,,,,
MFC,Manulife Financial Corporation Common Stock,19.884,1777908,7.42,,1.06,,3.42,,,,2.42,,
MFG,Mizuho Financial Group Inc. Sponosred ADR (Japan),3.105,468088,9.15,,0.61,,2.0,,,,,,
MFIN,Medallion Financial Corp. Common Stock,8.5,19364,4.64,,0.65,,1.29,,,,,,
MFV,MFS Special Value Trust Common Stock,4.375,3053,,,0.98,,,,,,,,
MG,Mistras Group Inc Common Stock,5.36,5335,44.17,,0.85,,0.23,,7.21,,0.53,,
MGEE,MGE Energy Inc,70.16,12729,22.79,,2.34,,3.54,,13.01,,4.54,,
MGI,Moneygram International Inc. Common Stock,10.87,720164,32.0,,,,0.83,,-5.61,,-0.6,,
MGLD,The Marygold Companies Inc. Common Stock,1.545,1347,21.68,,2.09,,1.71,,10.02,,1.24,,
MGM,MGM Resorts International Common Stock,44.6397,1685028,12.32,,3.33,,1.35,,8.87,,3.36,,
MGNI,Magnite Inc. Common Stock,10.605,551263,,,1.85,,2.5,,17.62,,3.38,,
MGPI,MGP Ingredients Inc.,100.68,14938,20.21,,2.93,,2.8,,14.27,,3.05,,
MGRC,McGrath RentCorp Common Stock,99.63,32602,21.5,,3.07,,3.38,,10.4,,3.92,,
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,11.53,281308,,,0.81,,,,,,,,
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,6.43,17084,,,0.95,,,,,,,,
MHH,Mastech Digital Inc Common Stock,12.2117,1149,16.47,,1.6,,0.59,,11.12,,0.56,,
MHK,Mohawk Industries Inc. Common Stock,101.08,156074,263.72,,0.82,,0.56,,10.93,,0.77,,
MHLD,Maiden Holdings Ltd.,2.3,20951,5.83,,1.6,,2.15,,,,7.26,,
MHN,Blackrock MuniHoldings New York Quality Fund Inc. Common Stock,10.16,24670,,,0.81,,,,,,,,
MHO,M/I Homes Inc. Common Stock,58.47,59755,3.35,,0.77,,0.4,,3.51,,0.55,,
MIDD,Middleby Corporation (The) Common Stock,154.86,55551,19.49,,2.98,,2.11,,16.7,,2.71,,
MIMO,Airspan Networks Holdings Inc. Common Stock,1.33,29458,,,,,0.53,,-2.82,,1.17,,
MIN,MFS Intermediate Income Trust Common Stock,2.81,45930,,,0.95,,,,,,,,
MIND,MIND Technology Inc. Common Stock (DE),0.565,3202,,,,,0.29,,-4.39,,1.76,,
MINM,Minim Inc. Common Stock,0.1852,30658,,,0.41,,0.17,,-1.49,,0.26,,
MIST,Milestone Pharmaceuticals Inc. Common Shares,3.27,32332,,,1.45,,92.23,,-0.6,,24.97,,
MITK,Mitek Systems Inc. Common Stock,9.31,66979,60.73,,2.3,,2.99,,16.79,,3.35,,
MKC,McCormick & Company Incorporated Common Stock,72.57,818861,28.96,,4.18,,3.1,,21.11,,3.87,,
MKL,Markel Corporation Common Stock,1328.47,9453,,,1.43,,1.53,,,,1.56,,
MKSI,MKS Instruments Inc. Common Stock,92.4,162344,17.01,,1.4,,1.6,,12.77,,2.97,,
MKTX,MarketAxess Holdings Inc. Common Stock,351.41,65875,51.35,,11.88,,17.89,,30.68,,17.35,,
MKUL,Molekule Group Inc. Common Stock,2.34,7320,,,3.02,,73.71,,-5.0,,145.24,,
MLAB,Mesa Laboratories Inc. Common Stock,177.85,14078,736.39,,2.44,,4.25,,28.65,,4.98,,
MLCO,Melco Resorts & Entertainment Limited American Depositary Shares,13.6,1372811,110.6,,,,4.34,,-150.58,,8.47,,
MLI,Mueller Industries Inc. Common Stock,74.295,65661,6.35,,2.35,,1.05,,3.86,,0.89,,
MLKN,MillerKnoll Inc. Common Stock,23.675,108612,21.54,,1.27,,0.43,,10.58,,0.83,,
MLM,Martin Marietta Materials Inc. Common Stock,360.55,89826,26.1,,3.1,,3.63,,15.44,,4.43,,
